brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
DELL,Intel,4 GB,256 GB,1024 GB,64-bit,No,39990
DELL,Intel,8 GB,256 GB,1024 GB,64-bit,No,46390
ASUS,Intel,4 GB,0 GB,512 GB,64-bit,No,18990
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,17990
HP,Intel,4 GB,0 GB,512 GB,64-bit,No,26470
HP,Intel,4 GB,0 GB,512 GB,64-bit,No,27990
Lenovo,Intel,4 GB,0 GB,1024 GB,32-bit,No,29999
Lenovo,Intel,4 GB,0 GB,512 GB,64-bit,No,25990
Lenovo,Intel,4 GB,0 GB,512 GB,32-bit,No,16990
Lenovo,Intel,4 GB,0 GB,512 GB,32-bit,No,24990
acer,Intel,8 GB,0 GB,512 GB,32-bit,No,50990
acer,Intel,8 GB,0 GB,512 GB,32-bit,No,119990
acer,Intel,8 GB,0 GB,512 GB,32-bit,No,94190
ASUS,Intel,8 GB,0 GB,512 GB,32-bit,No,106167
DELL,Intel,8 GB,0 GB,512 GB,32-bit,No,68090
DELL,Intel,8 GB,0 GB,512 GB,32-bit,No,139990
HP,Intel,8 GB,0 GB,512 GB,32-bit,No,55990
HP,Intel,8 GB,0 GB,512 GB,32-bit,No,102551
Lenovo,Intel,8 GB,0 GB,512 GB,32-bit,No,46990
HP,Intel,8 GB,128 GB,0 GB,64-bit,No,76012
Lenovo,Intel,8 GB,256 GB,0 GB,64-bit,No,49490
acer,Intel,8 GB,256 GB,0 GB,64-bit,No,86867
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,No,48990
DELL,Intel,8 GB,256 GB,0 GB,64-bit,No,55990
acer,Intel,8 GB,256 GB,0 GB,64-bit,Yes,81998
HP,Intel,8 GB,256 GB,0 GB,64-bit,Yes,136590
acer,Intel,8 GB,256 GB,0 GB,64-bit,No,59490
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,No,49800
Lenovo,Intel,8 GB,256 GB,0 GB,64-bit,No,61999
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,54990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,53990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,52990
HP,Intel,16 GB,512 GB,0 GB,64-bit,No,67990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,57990
Lenovo,Intel,16 GB,512 GB,0 GB,64-bit,No,62300
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,52990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,51990
Lenovo,Intel,16 GB,512 GB,0 GB,64-bit,No,61990
ASUS,Intel,8 GB,512 GB,0 GB,32-bit,Yes,63990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,65990
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,52990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,49990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,71990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,47990
Lenovo,Intel,8 GB,512 GB,0 GB,32-bit,No,48490
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,72990
MSI,Intel,16 GB,512 GB,0 GB,64-bit,No,76990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,89990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,65990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,71990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,71890
Lenovo,Intel,16 GB,512 GB,0 GB,64-bit,No,64990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,65990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,55999
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,73490
HP,Intel,16 GB,512 GB,0 GB,64-bit,No,74490
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,58340
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,55999
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,67990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,59990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,82990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,64190
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,70090
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,49990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,55490
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,97990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,54990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,53990
HP,Intel,16 GB,512 GB,0 GB,64-bit,No,66999
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,60990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,47990
HP,Intel,8 GB,512 GB,0 GB,32-bit,No,59999
